Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Qref_Deltas,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v,Qref_MVAr_v,Qref_MVAr_t,Q_Ctrl_Mode_v
,,s52513_QC_QrefSteps_002,d50%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,1226,0,"[0.5, 20]","[-235.0, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,1.0,1,0.9169971458773769,1226,0,0,20,,,"[158.0, -77.0, -77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_003,d50%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,876,350,"[0.5, 20]","[-235.0, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,1.0,1,0.9169971458773769,876,350,0,20,,,"[158.0, -77.0, -77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_004,d50%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,0,-350,"[0.5, 20]","[-235.0, 0]",CSR_S52513,0.8713964646301905,,2528,10,1.025,1.0,1,0.8713964646301905,0,-350,0,20,,,"[158.0, -77.0, -77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_005,u50%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,1226,0,"[0.5, 20]","[235.0, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-1.0,1,1.273050583566357,1226,0,0,20,,,"[-158.0, 77.0, 77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_006,u50%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,876,350,"[0.5, 20]","[235.0, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-1.0,1,1.273050583566357,876,350,0,20,,,"[-158.0, 77.0, 77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_007,u50%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,0,-350,"[0.5, 20]","[235.0, 0]",CSR_S52513,1.2445001130787745,,2528,10,1.05,-1.0,1,1.2445001130787745,0,-350,0,20,,,"[-158.0, 77.0, 77.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_008,Sat(u50%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,1226,0,"[0.5, 20]","[235.0, 0]",CSR_S52513,0.9346582168969512,,2528,10,1.0262499999999999,0.9,1,0.9346582168969512,1226,0,0,20,,,"[142.20000000000002, 377.20000000000005, 377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_009,Sat(u50%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,876,350,"[0.5, 20]","[235.0, 0]",CSR_S52513,0.9346582168969512,,2528,10,1.0262499999999999,0.9,1,0.9346582168969512,876,350,0,20,,,"[142.20000000000002, 377.20000000000005, 377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_010,Sat(u50%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,0,-350,"[0.5, 20]","[235.0, 0]",CSR_S52513,0.8902441259341541,,2528,10,1.0262499999999999,0.9,1,0.8902441259341541,0,-350,0,20,,,"[142.20000000000002, 377.20000000000005, 377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_011,Sat(d50%),VAR,PPOC_VPOC_VREF,2528,10,1.035524381736983,1.04875,-0.9,1226,0,"[0.5, 20]","[-235.0, 0]",CSR_S52513,1.2552481418396007,,2528,10,1.04875,-0.9,1,1.2552481418396007,1226,0,0,20,,,"[-142.20000000000002, -377.20000000000005, -377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_012,Sat(d50%),VAR,PPOC_VPOC_VREF,2528,10,1.035524381736983,1.04875,-0.9,876,350,"[0.5, 20]","[-235.0, 0]",CSR_S52513,1.2552481418396007,,2528,10,1.04875,-0.9,1,1.2552481418396007,876,350,0,20,,,"[-142.20000000000002, -377.20000000000005, -377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_013,Sat(d50%),VAR,PPOC_VPOC_VREF,2528,10,1.035524381736983,1.04875,-0.9,0,-350,"[0.5, 20]","[-235.0, 0]",CSR_S52513,1.2260926872365427,,2528,10,1.04875,-0.9,1,1.2260926872365427,0,-350,0,20,,,"[-142.20000000000002, -377.20000000000005, -377.20000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_014,d10%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,1226,0,"[0.5, 20]","[-47.0, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,1.0,1,0.9169971458773769,1226,0,0,20,,,"[158.0, 111.0, 111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_015,d10%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,876,350,"[0.5, 20]","[-47.0, 0]",CSR_S52513,0.9169971458773769,,2528,10,1.025,1.0,1,0.9169971458773769,876,350,0,20,,,"[158.0, 111.0, 111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_016,d10%,VAR,PPOC_VPOC_VREF,2528,10,1.039695131403352,1.025,1.0,0,-350,"[0.5, 20]","[-47.0, 0]",CSR_S52513,0.8713964646301905,,2528,10,1.025,1.0,1,0.8713964646301905,0,-350,0,20,,,"[158.0, 111.0, 111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_017,d10%,VAR,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,1.0,1226,0,"[0.5, 20]","[-47.0, 0]",CSR_S52513,0.9968470982130413,,1500,10,1.025,1.0,1,0.9968470982130413,1226,0,0,20,,,"[158.0, 111.0, 111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_018,d10%,VAR,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,1.0,876,350,"[0.5, 20]","[-47.0, 0]",CSR_S52513,0.9968470982130413,,1500,10,1.025,1.0,1,0.9968470982130413,876,350,0,20,,,"[158.0, 111.0, 111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_019,d10%,VAR,PPOC_VPOC_VREF,1500,10,1.039695131403352,1.025,1.0,0,-350,"[0.5, 20]","[-47.0, 0]",CSR_S52513,0.7866202755893374,,1500,10,1.025,1.0,1,0.7866202755893374,0,-350,0,20,,,"[158.0, 111.0, 111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_020,u10%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,1226,0,"[0.5, 20]","[47.0, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-1.0,1,1.273050583566357,1226,0,0,20,,,"[-158.0, -111.0, -111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_021,u10%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,876,350,"[0.5, 20]","[47.0, 0]",CSR_S52513,1.273050583566357,,2528,10,1.05,-1.0,1,1.273050583566357,876,350,0,20,,,"[-158.0, -111.0, -111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_022,u10%,VAR,PPOC_VPOC_VREF,2528,10,1.035304868596648,1.05,-1.0,0,-350,"[0.5, 20]","[47.0, 0]",CSR_S52513,1.2445001130787745,,2528,10,1.05,-1.0,1,1.2445001130787745,0,-350,0,20,,,"[-158.0, -111.0, -111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_023,u10%,VAR,PPOC_VPOC_VREF,1500,10,1.035304868596648,1.05,-1.0,1226,0,"[0.5, 20]","[47.0, 0]",CSR_S52513,1.5027899700654626,,1500,10,1.05,-1.0,1,1.5027899700654626,1226,0,0,20,,,"[-158.0, -111.0, -111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_024,u10%,VAR,PPOC_VPOC_VREF,1500,10,1.035304868596648,1.05,-1.0,876,350,"[0.5, 20]","[47.0, 0]",CSR_S52513,1.5027899700654626,,1500,10,1.05,-1.0,1,1.5027899700654626,876,350,0,20,,,"[-158.0, -111.0, -111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_025,u10%,VAR,PPOC_VPOC_VREF,1500,10,1.035304868596648,1.05,-1.0,0,-350,"[0.5, 20]","[47.0, 0]",CSR_S52513,1.3823619506837046,,1500,10,1.05,-1.0,1,1.3823619506837046,0,-350,0,20,,,"[-158.0, -111.0, -111.0]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_026,Sat(u10%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,1226,0,"[0.5, 20]","[47.0, 0]",CSR_S52513,0.9346582168969512,,2528,10,1.0262499999999999,0.9,1,0.9346582168969512,1226,0,0,20,,,"[142.20000000000002, 189.20000000000002, 189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_027,Sat(u10%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,876,350,"[0.5, 20]","[47.0, 0]",CSR_S52513,0.9346582168969512,,2528,10,1.0262499999999999,0.9,1,0.9346582168969512,876,350,0,20,,,"[142.20000000000002, 189.20000000000002, 189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_028,Sat(u10%),VAR,PPOC_VPOC_VREF,2528,10,1.039475618263017,1.0262499999999999,0.9,0,-350,"[0.5, 20]","[47.0, 0]",CSR_S52513,0.8902441259341541,,2528,10,1.0262499999999999,0.9,1,0.8902441259341541,0,-350,0,20,,,"[142.20000000000002, 189.20000000000002, 189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_029,Sat(u10%),VAR,PPOC_VPOC_VREF,1500,10,1.039475618263017,1.0262499999999999,0.9,1226,0,"[0.5, 20]","[47.0, 0]",CSR_S52513,1.019380520012282,,1500,10,1.0262499999999999,0.9,1,1.019380520012282,1226,0,0,20,,,"[142.20000000000002, 189.20000000000002, 189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_030,Sat(u10%),VAR,PPOC_VPOC_VREF,1500,10,1.039475618263017,1.0262499999999999,0.9,876,350,"[0.5, 20]","[47.0, 0]",CSR_S52513,1.019380520012282,,1500,10,1.0262499999999999,0.9,1,1.019380520012282,876,350,0,20,,,"[142.20000000000002, 189.20000000000002, 189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_031,Sat(u10%),VAR,PPOC_VPOC_VREF,1500,10,1.039475618263017,1.0262499999999999,0.9,0,-350,"[0.5, 20]","[47.0, 0]",CSR_S52513,0.815858940382407,,1500,10,1.0262499999999999,0.9,1,0.815858940382407,0,-350,0,20,,,"[142.20000000000002, 189.20000000000002, 189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_032,Sat(d10%),VAR,PPOC_VPOC_VREF,2528,10,1.035524381736983,1.04875,-0.9,1226,0,"[0.5, 20]","[-47.0, 0]",CSR_S52513,1.2552481418396007,,2528,10,1.04875,-0.9,1,1.2552481418396007,1226,0,0,20,,,"[-142.20000000000002, -189.20000000000002, -189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_033,Sat(d10%),VAR,PPOC_VPOC_VREF,2528,10,1.035524381736983,1.04875,-0.9,876,350,"[0.5, 20]","[-47.0, 0]",CSR_S52513,1.2552481418396007,,2528,10,1.04875,-0.9,1,1.2552481418396007,876,350,0,20,,,"[-142.20000000000002, -189.20000000000002, -189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_034,Sat(d10%),VAR,PPOC_VPOC_VREF,2528,10,1.035524381736983,1.04875,-0.9,0,-350,"[0.5, 20]","[-47.0, 0]",CSR_S52513,1.2260926872365427,,2528,10,1.04875,-0.9,1,1.2260926872365427,0,-350,0,20,,,"[-142.20000000000002, -189.20000000000002, -189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_035,Sat(d10%),VAR,PPOC_VPOC_VREF,1500,10,1.035524381736983,1.04875,-0.9,1226,0,"[0.5, 20]","[-47.0, 0]",CSR_S52513,1.475837516513006,,1500,10,1.04875,-0.9,1,1.475837516513006,1226,0,0,20,,,"[-142.20000000000002, -189.20000000000002, -189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_036,Sat(d10%),VAR,PPOC_VPOC_VREF,1500,10,1.035524381736983,1.04875,-0.9,876,350,"[0.5, 20]","[-47.0, 0]",CSR_S52513,1.475837516513006,,1500,10,1.04875,-0.9,1,1.475837516513006,876,350,0,20,,,"[-142.20000000000002, -189.20000000000002, -189.20000000000002]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_037,Sat(d10%),VAR,PPOC_VPOC_VREF,1500,10,1.035524381736983,1.04875,-0.9,0,-350,"[0.5, 20]","[-47.0, 0]",CSR_S52513,1.3525220034650394,,1500,10,1.04875,-0.9,1,1.3525220034650394,0,-350,0,20,,,"[-142.20000000000002, -189.20000000000002, -189.20000000000002]","[0, 0.5, 20]",2
