Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Fault_Types,Fault_Durations,Post_Fault_Durations,Fault_Zs_Multiplier,DIR,Vslack_pu,Commands>,Grid_MVA_v,Grid_X2R_v,Init_Vpoc_pu_v,Init_Qpoc_pu_v,En_SMIB_init_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Fault_X2R_v,Fault_Timing_Signal_t,Fault_Timing_Signal_v,Zf2Zs_t,Zf2Zs_v,Fault_Type_t,Fault_Type_v
,,s5255_PSCAD_MFRT_002,PSCAD-MFRT,Droop,,1500,10,1.0375,1.0375,0,1226,0,"[7, 4, 1, 4, 7, 4, 4, 1, 1, 1, 1, 4, 1, 4, 4]","[0.12, 0.12, 0.22, 0.22, 0.22, 0.22, 0.12, 0.22, 0.12, 0.22, 0.43, 0.12, 0.12, 0.12, 0.12]","[0.5, 1, 7, 0.75, 0.01, 2, 3, 1.5, 0.2, 5, 0.01, 10, 0.5, 2, 0.2]","[0, 3, 3, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0]",CSR_S5255,1.2386951830136483,,1500,10,1.0375,0,1,1.0375,1.2386951830136483,1226,0,0,36.88,10,"[0, 0.5, 0.62, 1.12, 1.2400000000000002, 2.24, 2.4600000000000004, 9.46, 9.680000000000001, 10.430000000000001, 10.650000000000002, 10.660000000000002, 10.880000000000003, 12.880000000000003, 13.000000000000002, 16.000000000000004, 16.220000000000002, 17.720000000000002, 17.840000000000003, 18.040000000000003, 18.26, 23.26, 23.69, 23.700000000000003, 23.820000000000004, 33.82, 33.94, 34.44, 34.559999999999995, 36.559999999999995, 36.67999999999999]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 1.12, 2.24, 9.46, 10.430000000000001, 10.660000000000002, 12.880000000000003, 16.000000000000004, 17.720000000000002, 18.040000000000003, 23.26, 23.700000000000003, 33.82, 34.44, 36.559999999999995]","[0, 3, 3, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0]","[0.5, 1.12, 2.24, 9.46, 10.430000000000001, 10.660000000000002, 12.880000000000003, 16.000000000000004, 17.720000000000002, 18.040000000000003, 23.26, 23.700000000000003, 33.82, 34.44, 36.559999999999995]","[7, 4, 1, 4, 7, 4, 4, 1, 1, 1, 1, 4, 1, 4, 4]"
,,s5255_PSCAD_MFRT_003,PSCAD-MFRT,Droop,,1500,10,1.0375,1.0375,0,876,350,"[7, 4, 1, 4, 7, 4, 4, 1, 1, 1, 1, 4, 1, 4, 4]","[0.12, 0.12, 0.22, 0.22, 0.22, 0.22, 0.12, 0.22, 0.12, 0.22, 0.43, 0.12, 0.12, 0.12, 0.12]","[0.5, 1, 7, 0.75, 0.01, 2, 3, 1.5, 0.2, 5, 0.01, 10, 0.5, 2, 0.2]","[0, 3, 3, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0]",CSR_S5255,1.2386951830136483,,1500,10,1.0375,0,1,1.0375,1.2386951830136483,876,350,0,36.88,10,"[0, 0.5, 0.62, 1.12, 1.2400000000000002, 2.24, 2.4600000000000004, 9.46, 9.680000000000001, 10.430000000000001, 10.650000000000002, 10.660000000000002, 10.880000000000003, 12.880000000000003, 13.000000000000002, 16.000000000000004, 16.220000000000002, 17.720000000000002, 17.840000000000003, 18.040000000000003, 18.26, 23.26, 23.69, 23.700000000000003, 23.820000000000004, 33.82, 33.94, 34.44, 34.559999999999995, 36.559999999999995, 36.67999999999999]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 1.12, 2.24, 9.46, 10.430000000000001, 10.660000000000002, 12.880000000000003, 16.000000000000004, 17.720000000000002, 18.040000000000003, 23.26, 23.700000000000003, 33.82, 34.44, 36.559999999999995]","[0, 3, 3, 2, 0, 0, 2, 2, 3, 0, 3, 3, 0, 0, 0]","[0.5, 1.12, 2.24, 9.46, 10.430000000000001, 10.660000000000002, 12.880000000000003, 16.000000000000004, 17.720000000000002, 18.040000000000003, 23.26, 23.700000000000003, 33.82, 34.44, 36.559999999999995]","[7, 4, 1, 4, 7, 4, 4, 1, 1, 1, 1, 4, 1, 4, 4]"
,,s5255_PSCAD_MFRT_004,PSCAD-MFRT,Droop,,1500,10,1.0375,1.0375,0,1226,0,"[7, 7, 4, 1, 4, 1, 4, 1, 4, 1, 1, 4, 4, 4, 1]","[0.12, 0.22, 0.12, 0.22, 0.12, 0.22, 0.12, 0.12, 0.12, 0.12, 0.22, 0.22, 0.12, 0.22, 0.43]","[1.5, 2, 0.2, 0.01, 0.2, 0.5, 10, 2, 0.75, 0.5, 1, 7, 0.01, 5, 3]","[3, 0, 2, 2, 2, 0, 3, 0, 0, 3, 3, 3, 0, 0, 0]",CSR_S5255,1.2386951830136483,,1500,10,1.0375,0,1,1.0375,1.2386951830136483,1226,0,0,36.88,10,"[0, 0.5, 0.62, 2.12, 2.3400000000000003, 4.34, 4.46, 4.66, 4.88, 4.890000000000001, 5.010000000000001, 5.210000000000001, 5.430000000000001, 5.930000000000001, 6.050000000000001, 16.05, 16.17, 18.17, 18.290000000000003, 19.040000000000003, 19.160000000000004, 19.660000000000004, 19.880000000000003, 20.880000000000003, 21.1, 28.1, 28.220000000000002, 28.23, 28.45, 33.45, 33.88]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 2.12, 4.34, 4.66, 4.890000000000001, 5.210000000000001, 5.930000000000001, 16.05, 18.17, 19.040000000000003, 19.660000000000004, 20.880000000000003, 28.1, 28.23, 33.45]","[3, 0, 2, 2, 2, 0, 3, 0, 0, 3, 3, 3, 0, 0, 0]","[0.5, 2.12, 4.34, 4.66, 4.890000000000001, 5.210000000000001, 5.930000000000001, 16.05, 18.17, 19.040000000000003, 19.660000000000004, 20.880000000000003, 28.1, 28.23, 33.45]","[7, 7, 4, 1, 4, 1, 4, 1, 4, 1, 1, 4, 4, 4, 1]"
,,s5255_PSCAD_MFRT_005,PSCAD-MFRT,Droop,,1500,10,1.0375,1.0375,0,876,350,"[7, 7, 4, 1, 4, 1, 4, 1, 4, 1, 1, 4, 4, 4, 1]","[0.12, 0.22, 0.12, 0.22, 0.12, 0.22, 0.12, 0.12, 0.12, 0.12, 0.22, 0.22, 0.12, 0.22, 0.43]","[1.5, 2, 0.2, 0.01, 0.2, 0.5, 10, 2, 0.75, 0.5, 1, 7, 0.01, 5, 3]","[3, 0, 2, 2, 2, 0, 3, 0, 0, 3, 3, 3, 0, 0, 0]",CSR_S5255,1.2386951830136483,,1500,10,1.0375,0,1,1.0375,1.2386951830136483,876,350,0,36.88,10,"[0, 0.5, 0.62, 2.12, 2.3400000000000003, 4.34, 4.46, 4.66, 4.88, 4.890000000000001, 5.010000000000001, 5.210000000000001, 5.430000000000001, 5.930000000000001, 6.050000000000001, 16.05, 16.17, 18.17, 18.290000000000003, 19.040000000000003, 19.160000000000004, 19.660000000000004, 19.880000000000003, 20.880000000000003, 21.1, 28.1, 28.220000000000002, 28.23, 28.45, 33.45, 33.88]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 2.12, 4.34, 4.66, 4.890000000000001, 5.210000000000001, 5.930000000000001, 16.05, 18.17, 19.040000000000003, 19.660000000000004, 20.880000000000003, 28.1, 28.23, 33.45]","[3, 0, 2, 2, 2, 0, 3, 0, 0, 3, 3, 3, 0, 0, 0]","[0.5, 2.12, 4.34, 4.66, 4.890000000000001, 5.210000000000001, 5.930000000000001, 16.05, 18.17, 19.040000000000003, 19.660000000000004, 20.880000000000003, 28.1, 28.23, 33.45]","[7, 7, 4, 1, 4, 1, 4, 1, 4, 1, 1, 4, 4, 4, 1]"
,,s5255_PSCAD_MFRT_006,PSCAD-MFRT,Droop,,1500,10,1.0375,1.0375,0,1226,0,"[7, 1, 4, 1, 7, 4, 1, 1, 4, 4, 4, 1, 4, 1, 4]","[0.22, 0.12, 0.22, 0.22, 0.43, 0.12, 0.12, 0.12, 0.12, 0.22, 0.12, 0.22, 0.12, 0.22, 0.12]","[0.01, 0.5, 5, 0.5, 2, 2, 0.01, 7, 1.5, 3, 0.75, 10, 0.2, 1, 0.2]","[3, 2, 0, 0, 0, 3, 0, 3, 0, 2, 3, 0, 2, 3, 0]",CSR_S5255,1.2386951830136483,,1500,10,1.0375,0,1,1.0375,1.2386951830136483,1226,0,0,36.88,10,"[0, 0.5, 0.72, 0.73, 0.85, 1.35, 1.57, 6.569999999999999, 6.789999999999999, 7.289999999999999, 7.719999999999999, 9.719999999999999, 9.839999999999998, 11.84, 11.959999999999999, 11.97, 12.09, 19.09, 19.21, 20.71, 20.93, 23.93, 24.05, 24.8, 25.02, 35.02, 35.14, 35.34, 35.56, 36.56, 36.68]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 0.73, 1.35, 6.569999999999999, 7.289999999999999, 9.719999999999999, 11.84, 11.97, 19.09, 20.71, 23.93, 24.8, 35.02, 35.34, 36.56]","[3, 2, 0, 0, 0, 3, 0, 3, 0, 2, 3, 0, 2, 3, 0]","[0.5, 0.73, 1.35, 6.569999999999999, 7.289999999999999, 9.719999999999999, 11.84, 11.97, 19.09, 20.71, 23.93, 24.8, 35.02, 35.34, 36.56]","[7, 1, 4, 1, 7, 4, 1, 1, 4, 4, 4, 1, 4, 1, 4]"
,,s5255_PSCAD_MFRT_007,PSCAD-MFRT,Droop,,1500,10,1.0375,1.0375,0,876,350,"[7, 1, 4, 1, 7, 4, 1, 1, 4, 4, 4, 1, 4, 1, 4]","[0.22, 0.12, 0.22, 0.22, 0.43, 0.12, 0.12, 0.12, 0.12, 0.22, 0.12, 0.22, 0.12, 0.22, 0.12]","[0.01, 0.5, 5, 0.5, 2, 2, 0.01, 7, 1.5, 3, 0.75, 10, 0.2, 1, 0.2]","[3, 2, 0, 0, 0, 3, 0, 3, 0, 2, 3, 0, 2, 3, 0]",CSR_S5255,1.2386951830136483,,1500,10,1.0375,0,1,1.0375,1.2386951830136483,876,350,0,36.88,10,"[0, 0.5, 0.72, 0.73, 0.85, 1.35, 1.57, 6.569999999999999, 6.789999999999999, 7.289999999999999, 7.719999999999999, 9.719999999999999, 9.839999999999998, 11.84, 11.959999999999999, 11.97, 12.09, 19.09, 19.21, 20.71, 20.93, 23.93, 24.05, 24.8, 25.02, 35.02, 35.14, 35.34, 35.56, 36.56, 36.68]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 0.73, 1.35, 6.569999999999999, 7.289999999999999, 9.719999999999999, 11.84, 11.97, 19.09, 20.71, 23.93, 24.8, 35.02, 35.34, 36.56]","[3, 2, 0, 0, 0, 3, 0, 3, 0, 2, 3, 0, 2, 3, 0]","[0.5, 0.73, 1.35, 6.569999999999999, 7.289999999999999, 9.719999999999999, 11.84, 11.97, 19.09, 20.71, 23.93, 24.8, 35.02, 35.34, 36.56]","[7, 1, 4, 1, 7, 4, 1, 1, 4, 4, 4, 1, 4, 1, 4]"
,,s5255_PSCAD_MFRT_008,PSCAD-MFRT,Droop,,1500,10,1.0375,1.0375,0,1226,0,"[1, 4, 1, 4, 1, 7, 4, 7, 4, 1, 1, 4, 4, 4, 1]","[0.12, 0.22, 0.22, 0.22, 0.22, 0.12, 0.12, 0.12, 0.22, 0.12, 0.12, 0.43, 0.12, 0.22, 0.12]","[0.01, 2, 0.5, 1, 0.2, 7, 0.5, 0.75, 0.2, 1.5, 2, 10, 0.01, 3, 5]","[3, 3, 3, 2, 0, 2, 3, 0, 0, 0, 0, 0, 2, 3, 0]",CSR_S5255,1.2386951830136483,,1500,10,1.0375,0,1,1.0375,1.2386951830136483,1226,0,0,36.88,10,"[0, 0.5, 0.62, 0.63, 0.85, 2.85, 3.0700000000000003, 3.5700000000000003, 3.7900000000000005, 4.79, 5.01, 5.21, 5.33, 12.33, 12.45, 12.95, 13.069999999999999, 13.819999999999999, 14.04, 14.239999999999998, 14.359999999999998, 15.86, 15.979999999999999, 17.98, 18.41, 28.41, 28.53, 28.54, 28.759999999999998, 31.759999999999998, 31.88]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 0.63, 2.85, 3.5700000000000003, 4.79, 5.21, 12.33, 12.95, 13.819999999999999, 14.239999999999998, 15.86, 17.98, 28.41, 28.54, 31.759999999999998]","[3, 3, 3, 2, 0, 2, 3, 0, 0, 0, 0, 0, 2, 3, 0]","[0.5, 0.63, 2.85, 3.5700000000000003, 4.79, 5.21, 12.33, 12.95, 13.819999999999999, 14.239999999999998, 15.86, 17.98, 28.41, 28.54, 31.759999999999998]","[1, 4, 1, 4, 1, 7, 4, 7, 4, 1, 1, 4, 4, 4, 1]"
