Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Time_Steps,Qref_Deltas,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Vref_pu_t,Vref_pu_v,Qref_MVAr_v,Qref_MVAr_t,Q_Ctrl_Mode_v
,,s52513_QC_QrefSteps_002,d50%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,1100.0,0.0,"[0.5, 20]","[-217.25, 0]",CSR_S52513,0.8778935257994813,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_002""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d50%""]]",3000.0,5.0,0.8778935257994813,1100.0,0.0,0,20,,,"[158.0, -59.25, -59.25]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_003,d50%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,750.0,350.0,"[0.5, 20]","[-217.25, 0]",CSR_S52513,0.8778935257994813,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_003""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d50%""]]",3000.0,5.0,0.8778935257994813,750.0,350.0,0,20,,,"[158.0, -59.25, -59.25]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_004,d50%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,0.0,-350.0,"[0.5, 20]","[-217.25, 0]",CSR_S52513,0.9193829817152368,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_004""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d50%""]]",3000.0,5.0,0.9193829817152368,0.0,-350.0,0,20,,,"[158.0, -59.25, -59.25]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_005,u50%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,1100.0,0.0,"[0.5, 20]","[217.25, 0]",CSR_S52513,1.1763054837802749,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_005""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u50%""]]",3000.0,5.0,1.1763054837802749,1100.0,0.0,0,20,,,"[-158.0, 59.25, 59.25]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_006,u50%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,750.0,350.0,"[0.5, 20]","[217.25, 0]",CSR_S52513,1.1763054837802749,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_006""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u50%""]]",3000.0,5.0,1.1763054837802749,750.0,350.0,0,20,,,"[-158.0, 59.25, 59.25]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_007,u50%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,0.0,-350.0,"[0.5, 20]","[217.25, 0]",CSR_S52513,1.2098240064122732,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_007""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u50%""]]",3000.0,5.0,1.2098240064122732,0.0,-350.0,0,20,,,"[-158.0, 59.25, 59.25]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_008,Sat(u50%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039475618263017,1.0262499999999999,0.9,1100.0,0.0,"[0.5, 20]","[217.25, 0]",CSR_S52513,0.8930402110557689,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_008""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u50%)""]]",3000.0,5.0,0.8930402110557689,1100.0,0.0,0,20,,,"[142.20000000000002, 359.45000000000005, 359.45000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_009,Sat(u50%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039475618263017,1.0262499999999999,0.9,750.0,350.0,"[0.5, 20]","[217.25, 0]",CSR_S52513,0.8930402110557689,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_009""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u50%)""]]",3000.0,5.0,0.8930402110557689,750.0,350.0,0,20,,,"[142.20000000000002, 359.45000000000005, 359.45000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_010,Sat(u50%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039475618263017,1.0262499999999999,0.9,0.0,-350.0,"[0.5, 20]","[217.25, 0]",CSR_S52513,0.934006876362192,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_010""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u50%)""]]",3000.0,5.0,0.934006876362192,0.0,-350.0,0,20,,,"[142.20000000000002, 359.45000000000005, 359.45000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_011,Sat(d50%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035524381736983,1.04875,-0.9,1100.0,0.0,"[0.5, 20]","[-217.25, 0]",CSR_S52513,1.16162799257133,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_011""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d50%)""]]",3000.0,5.0,1.16162799257133,1100.0,0.0,0,20,,,"[-142.20000000000002, -359.45000000000005, -359.45000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_012,Sat(d50%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035524381736983,1.04875,-0.9,750.0,350.0,"[0.5, 20]","[-217.25, 0]",CSR_S52513,1.16162799257133,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_012""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d50%)""]]",3000.0,5.0,1.16162799257133,750.0,350.0,0,20,,,"[-142.20000000000002, -359.45000000000005, -359.45000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_013,Sat(d50%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035524381736983,1.04875,-0.9,0.0,-350.0,"[0.5, 20]","[-217.25, 0]",CSR_S52513,1.1954487487045977,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_013""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d50%)""]]",3000.0,5.0,1.1954487487045977,0.0,-350.0,0,20,,,"[-142.20000000000002, -359.45000000000005, -359.45000000000005]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_014,d10%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,1100.0,0.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,0.8778935257994813,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_014""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d10%""]]",3000.0,5.0,0.8778935257994813,1100.0,0.0,0,20,,,"[158.0, 114.55, 114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_015,d10%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,750.0,350.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,0.8778935257994813,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_015""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d10%""]]",3000.0,5.0,0.8778935257994813,750.0,350.0,0,20,,,"[158.0, 114.55, 114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_016,d10%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039695131403352,1.025,1.0,0.0,-350.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,0.9193829817152368,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_016""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d10%""]]",3000.0,5.0,0.9193829817152368,0.0,-350.0,0,20,,,"[158.0, 114.55, 114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_017,d10%,VAR,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,1.0,1100.0,0.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,0.8661496116496742,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_017""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""d10%""]]",2500.0,5.0,0.8661496116496742,1100.0,0.0,0,20,,,"[158.0, 114.55, 114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_018,d10%,VAR,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,1.0,750.0,350.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,0.8661496116496742,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_018""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""d10%""]]",2500.0,5.0,0.8661496116496742,750.0,350.0,0,20,,,"[158.0, 114.55, 114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_019,d10%,VAR,PPOC_VPOC_VREF,2500.0,5.0,1.039695131403352,1.025,1.0,0.0,-350.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,0.9011626720984607,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_019""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0250""],[""Qpoc [.pu]"",""1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""d10%""]]",2500.0,5.0,0.9011626720984607,0.0,-350.0,0,20,,,"[158.0, 114.55, 114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_020,u10%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,1100.0,0.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,1.1763054837802749,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_020""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u10%""]]",3000.0,5.0,1.1763054837802749,1100.0,0.0,0,20,,,"[-158.0, -114.55, -114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_021,u10%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,750.0,350.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,1.1763054837802749,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_021""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u10%""]]",3000.0,5.0,1.1763054837802749,750.0,350.0,0,20,,,"[-158.0, -114.55, -114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_022,u10%,VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035304868596648,1.05,-1.0,0.0,-350.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,1.2098240064122732,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_022""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u10%""]]",3000.0,5.0,1.2098240064122732,0.0,-350.0,0,20,,,"[-158.0, -114.55, -114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_023,u10%,VAR,PPOC_VPOC_VREF,2500.0,5.0,1.035304868596648,1.05,-1.0,1100.0,0.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,1.213987925185961,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_023""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""u10%""]]",2500.0,5.0,1.213987925185961,1100.0,0.0,0,20,,,"[-158.0, -114.55, -114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_024,u10%,VAR,PPOC_VPOC_VREF,2500.0,5.0,1.035304868596648,1.05,-1.0,750.0,350.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,1.213987925185961,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_024""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""u10%""]]",2500.0,5.0,1.213987925185961,750.0,350.0,0,20,,,"[-158.0, -114.55, -114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_025,u10%,VAR,PPOC_VPOC_VREF,2500.0,5.0,1.035304868596648,1.05,-1.0,0.0,-350.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,1.2423519106943521,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_025""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0500""],[""Qpoc [.pu]"",""-1.0""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""u10%""]]",2500.0,5.0,1.2423519106943521,0.0,-350.0,0,20,,,"[-158.0, -114.55, -114.55]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_026,Sat(u10%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039475618263017,1.0262499999999999,0.9,1100.0,0.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,0.8930402110557689,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_026""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u10%)""]]",3000.0,5.0,0.8930402110557689,1100.0,0.0,0,20,,,"[142.20000000000002, 185.65000000000003, 185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_027,Sat(u10%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039475618263017,1.0262499999999999,0.9,750.0,350.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,0.8930402110557689,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_027""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u10%)""]]",3000.0,5.0,0.8930402110557689,750.0,350.0,0,20,,,"[142.20000000000002, 185.65000000000003, 185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_028,Sat(u10%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.039475618263017,1.0262499999999999,0.9,0.0,-350.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,0.934006876362192,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_028""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u10%)""]]",3000.0,5.0,0.934006876362192,0.0,-350.0,0,20,,,"[142.20000000000002, 185.65000000000003, 185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_029,Sat(u10%),VAR,PPOC_VPOC_VREF,2500.0,5.0,1.039475618263017,1.0262499999999999,0.9,1100.0,0.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,0.8836833158609458,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_029""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u10%)""]]",2500.0,5.0,0.8836833158609458,1100.0,0.0,0,20,,,"[142.20000000000002, 185.65000000000003, 185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_030,Sat(u10%),VAR,PPOC_VPOC_VREF,2500.0,5.0,1.039475618263017,1.0262499999999999,0.9,750.0,350.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,0.8836833158609458,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_030""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u10%)""]]",2500.0,5.0,0.8836833158609458,750.0,350.0,0,20,,,"[142.20000000000002, 185.65000000000003, 185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_031,Sat(u10%),VAR,PPOC_VPOC_VREF,2500.0,5.0,1.039475618263017,1.0262499999999999,0.9,0.0,-350.0,"[0.5, 20]","[43.45, 0]",CSR_S52513,0.9182474707730856,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_031""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0262""],[""Qpoc [.pu]"",""0.9""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(u10%)""]]",2500.0,5.0,0.9182474707730856,0.0,-350.0,0,20,,,"[142.20000000000002, 185.65000000000003, 185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_032,Sat(d10%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035524381736983,1.04875,-0.9,1100.0,0.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,1.16162799257133,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_032""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d10%)""]]",3000.0,5.0,1.16162799257133,1100.0,0.0,0,20,,,"[-142.20000000000002, -185.65000000000003, -185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_033,Sat(d10%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035524381736983,1.04875,-0.9,750.0,350.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,1.16162799257133,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_033""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d10%)""]]",3000.0,5.0,1.16162799257133,750.0,350.0,0,20,,,"[-142.20000000000002, -185.65000000000003, -185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_034,Sat(d10%),VAR,PPOC_VPOC_VREF,3000.0,5.0,1.035524381736983,1.04875,-0.9,0.0,-350.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,1.1954487487045977,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_034""],[""Fault Level [MVA]"",""3000.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d10%)""]]",3000.0,5.0,1.1954487487045977,0.0,-350.0,0,20,,,"[-142.20000000000002, -185.65000000000003, -185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_035,Sat(d10%),VAR,PPOC_VPOC_VREF,2500.0,5.0,1.035524381736983,1.04875,-0.9,1100.0,0.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,1.1967975579303793,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_035""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d10%)""]]",2500.0,5.0,1.1967975579303793,1100.0,0.0,0,20,,,"[-142.20000000000002, -185.65000000000003, -185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_036,Sat(d10%),VAR,PPOC_VPOC_VREF,2500.0,5.0,1.035524381736983,1.04875,-0.9,750.0,350.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,1.1967975579303793,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_036""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d10%)""]]",2500.0,5.0,1.1967975579303793,750.0,350.0,0,20,,,"[-142.20000000000002, -185.65000000000003, -185.65000000000003]","[0, 0.5, 20]",2
,,s52513_QC_QrefSteps_037,Sat(d10%),VAR,PPOC_VPOC_VREF,2500.0,5.0,1.035524381736983,1.04875,-0.9,0.0,-350.0,"[0.5, 20]","[-43.45, 0]",CSR_S52513,1.2254058677589037,,"[[""Filename/Int. Ref."",""s52513_QC_QrefSteps_037""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0488""],[""Qpoc [.pu]"",""-0.9""],[""Pwind [MW]"",""0.0""],[""Pbess [MW]"",""-350.0""],[""t=0"",""steady-state""],[""Test Type"",""Sat(d10%)""]]",2500.0,5.0,1.2254058677589037,0.0,-350.0,0,20,,,"[-142.20000000000002, -185.65000000000003, -185.65000000000003]","[0, 0.5, 20]",2
