Grouping,Key_Tests,File_Name,Category,Control_Mode,Init_Strategy,Init_Fault_MVA,Init_Fault_X_on_R,Init_Vref_pu,Init_Vpoc_pu,Init_Qpoc_pu,Init_Pwind_MW,Init_Pbess_MW,Fault_Types,Fault_Durations,Post_Fault_Durations,Fault_Zs_Multiplier,DIR,Vslack_pu,Commands>,Table_Data,Grid_MVA_v,Grid_X2R_v,Vref_pu_v,Vslack_pu_v,Pref_Wind_MW_v,Pref_BESS_MW_v,Infinite_Grid_v,Post_Init_Duration_s,Fault_X2R_v,Fault_Timing_Signal_t,Fault_Timing_Signal_v,Zf2Zs_t,Zf2Zs_v,Fault_Type_t,Fault_Type_v
,,s5255_PSCAD_MFRT_002,PSCAD-MFRT,Droop,,2500.0,5.0,1.0375,1.0375,0,1100.0,0.0,"[7, 4, 4, 4, 1, 4, 1, 7, 1, 1, 1, 4, 4, 4, 1]","[0.22, 0.12, 0.22, 0.22, 0.12, 0.12, 0.12, 0.22, 0.12, 0.22, 0.12, 0.43, 0.12, 0.22, 0.12]","[10, 0.2, 5, 7, 2, 2, 0.01, 0.75, 0.01, 0.5, 0.2, 1, 1.5, 3, 0.5]","[3, 3, 3, 0, 0, 2, 0, 0, 3, 0, 2, 3, 2, 0, 0]",CSR_S5255,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5255_PSCAD_MFRT_002""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,1100.0,0.0,0,36.88,5.0,"[0, 0.5, 0.72, 10.72, 10.84, 11.040000000000001, 11.260000000000002, 16.26, 16.48, 23.48, 23.6, 25.6, 25.720000000000002, 27.720000000000002, 27.840000000000003, 27.85, 28.07, 28.82, 28.94, 28.95, 29.169999999999998, 29.669999999999998, 29.79, 29.99, 30.419999999999998, 31.419999999999998, 31.54, 33.04, 33.26, 36.26, 36.379999999999995]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 10.72, 11.040000000000001, 16.26, 23.48, 25.6, 27.720000000000002, 27.85, 28.82, 28.95, 29.669999999999998, 29.99, 31.419999999999998, 33.04, 36.26]","[3, 3, 3, 0, 0, 2, 0, 0, 3, 0, 2, 3, 2, 0, 0]","[0.5, 10.72, 11.040000000000001, 16.26, 23.48, 25.6, 27.720000000000002, 27.85, 28.82, 28.95, 29.669999999999998, 29.99, 31.419999999999998, 33.04, 36.26]","[7, 4, 4, 4, 1, 4, 1, 7, 1, 1, 1, 4, 4, 4, 1]"
,,s5255_PSCAD_MFRT_003,PSCAD-MFRT,Droop,,2500.0,5.0,1.0375,1.0375,0,750.0,350.0,"[7, 4, 4, 4, 1, 4, 1, 7, 1, 1, 1, 4, 4, 4, 1]","[0.22, 0.12, 0.22, 0.22, 0.12, 0.12, 0.12, 0.22, 0.12, 0.22, 0.12, 0.43, 0.12, 0.22, 0.12]","[10, 0.2, 5, 7, 2, 2, 0.01, 0.75, 0.01, 0.5, 0.2, 1, 1.5, 3, 0.5]","[3, 3, 3, 0, 0, 2, 0, 0, 3, 0, 2, 3, 2, 0, 0]",CSR_S5255,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5255_PSCAD_MFRT_003""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,750.0,350.0,0,36.88,5.0,"[0, 0.5, 0.72, 10.72, 10.84, 11.040000000000001, 11.260000000000002, 16.26, 16.48, 23.48, 23.6, 25.6, 25.720000000000002, 27.720000000000002, 27.840000000000003, 27.85, 28.07, 28.82, 28.94, 28.95, 29.169999999999998, 29.669999999999998, 29.79, 29.99, 30.419999999999998, 31.419999999999998, 31.54, 33.04, 33.26, 36.26, 36.379999999999995]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 10.72, 11.040000000000001, 16.26, 23.48, 25.6, 27.720000000000002, 27.85, 28.82, 28.95, 29.669999999999998, 29.99, 31.419999999999998, 33.04, 36.26]","[3, 3, 3, 0, 0, 2, 0, 0, 3, 0, 2, 3, 2, 0, 0]","[0.5, 10.72, 11.040000000000001, 16.26, 23.48, 25.6, 27.720000000000002, 27.85, 28.82, 28.95, 29.669999999999998, 29.99, 31.419999999999998, 33.04, 36.26]","[7, 4, 4, 4, 1, 4, 1, 7, 1, 1, 1, 4, 4, 4, 1]"
,,s5255_PSCAD_MFRT_004,PSCAD-MFRT,Droop,,2500.0,5.0,1.0375,1.0375,0,1100.0,0.0,"[7, 1, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 7, 4, 4]","[0.12, 0.12, 0.43, 0.12, 0.12, 0.22, 0.12, 0.22, 0.12, 0.12, 0.22, 0.12, 0.22, 0.22, 0.22]","[0.2, 0.2, 5, 1.5, 10, 2, 0.01, 0.5, 7, 0.5, 0.01, 2, 1, 0.75, 3]","[0, 0, 2, 0, 3, 0, 3, 3, 3, 2, 3, 0, 0, 0, 2]",CSR_S5255,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5255_PSCAD_MFRT_004""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,1100.0,0.0,0,36.88,5.0,"[0, 0.5, 0.62, 0.8200000000000001, 0.9400000000000001, 1.1400000000000001, 1.57, 6.569999999999999, 6.6899999999999995, 8.19, 8.309999999999999, 18.31, 18.529999999999998, 20.529999999999998, 20.65, 20.659999999999997, 20.879999999999995, 21.379999999999995, 21.499999999999996, 28.499999999999996, 28.619999999999997, 29.119999999999997, 29.339999999999996, 29.349999999999998, 29.47, 31.47, 31.689999999999998, 32.69, 32.91, 33.66, 33.879999999999995]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 0.8200000000000001, 1.1400000000000001, 6.569999999999999, 8.19, 18.31, 20.529999999999998, 20.659999999999997, 21.379999999999995, 28.499999999999996, 29.119999999999997, 29.349999999999998, 31.47, 32.69, 33.66]","[0, 0, 2, 0, 3, 0, 3, 3, 3, 2, 3, 0, 0, 0, 2]","[0.5, 0.8200000000000001, 1.1400000000000001, 6.569999999999999, 8.19, 18.31, 20.529999999999998, 20.659999999999997, 21.379999999999995, 28.499999999999996, 29.119999999999997, 29.349999999999998, 31.47, 32.69, 33.66]","[7, 1, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 7, 4, 4]"
,,s5255_PSCAD_MFRT_005,PSCAD-MFRT,Droop,,2500.0,5.0,1.0375,1.0375,0,750.0,350.0,"[7, 1, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 7, 4, 4]","[0.12, 0.12, 0.43, 0.12, 0.12, 0.22, 0.12, 0.22, 0.12, 0.12, 0.22, 0.12, 0.22, 0.22, 0.22]","[0.2, 0.2, 5, 1.5, 10, 2, 0.01, 0.5, 7, 0.5, 0.01, 2, 1, 0.75, 3]","[0, 0, 2, 0, 3, 0, 3, 3, 3, 2, 3, 0, 0, 0, 2]",CSR_S5255,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5255_PSCAD_MFRT_005""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,750.0,350.0,0,36.88,5.0,"[0, 0.5, 0.62, 0.8200000000000001, 0.9400000000000001, 1.1400000000000001, 1.57, 6.569999999999999, 6.6899999999999995, 8.19, 8.309999999999999, 18.31, 18.529999999999998, 20.529999999999998, 20.65, 20.659999999999997, 20.879999999999995, 21.379999999999995, 21.499999999999996, 28.499999999999996, 28.619999999999997, 29.119999999999997, 29.339999999999996, 29.349999999999998, 29.47, 31.47, 31.689999999999998, 32.69, 32.91, 33.66, 33.879999999999995]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 0.8200000000000001, 1.1400000000000001, 6.569999999999999, 8.19, 18.31, 20.529999999999998, 20.659999999999997, 21.379999999999995, 28.499999999999996, 29.119999999999997, 29.349999999999998, 31.47, 32.69, 33.66]","[0, 0, 2, 0, 3, 0, 3, 3, 3, 2, 3, 0, 0, 0, 2]","[0.5, 0.8200000000000001, 1.1400000000000001, 6.569999999999999, 8.19, 18.31, 20.529999999999998, 20.659999999999997, 21.379999999999995, 28.499999999999996, 29.119999999999997, 29.349999999999998, 31.47, 32.69, 33.66]","[7, 1, 1, 1, 4, 1, 1, 4, 4, 4, 4, 1, 7, 4, 4]"
,,s5255_PSCAD_MFRT_006,PSCAD-MFRT,Droop,,2500.0,5.0,1.0375,1.0375,0,1100.0,0.0,"[4, 4, 7, 4, 1, 1, 1, 1, 1, 7, 4, 4, 1, 4, 4]","[0.12, 0.12, 0.43, 0.12, 0.12, 0.22, 0.22, 0.22, 0.12, 0.12, 0.12, 0.12, 0.22, 0.22, 0.22]","[0.5, 0.01, 3, 0.01, 1, 2, 1.5, 7, 2, 10, 0.2, 0.2, 5, 0.75, 0.5]","[0, 0, 3, 2, 0, 0, 3, 3, 3, 2, 0, 0, 0, 3, 2]",CSR_S5255,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5255_PSCAD_MFRT_006""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,1100.0,0.0,0,36.88,5.0,"[0, 0.5, 0.62, 1.12, 1.2400000000000002, 1.25, 1.68, 4.68, 4.8, 4.81, 4.93, 5.93, 6.1499999999999995, 8.15, 8.370000000000001, 9.870000000000001, 10.090000000000002, 17.09, 17.21, 19.21, 19.330000000000002, 29.33, 29.45, 29.65, 29.77, 29.97, 30.189999999999998, 35.19, 35.41, 36.16, 36.379999999999995]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 1.12, 1.25, 4.68, 4.81, 5.93, 8.15, 9.870000000000001, 17.09, 19.21, 29.33, 29.65, 29.97, 35.19, 36.16]","[0, 0, 3, 2, 0, 0, 3, 3, 3, 2, 0, 0, 0, 3, 2]","[0.5, 1.12, 1.25, 4.68, 4.81, 5.93, 8.15, 9.870000000000001, 17.09, 19.21, 29.33, 29.65, 29.97, 35.19, 36.16]","[4, 4, 7, 4, 1, 1, 1, 1, 1, 7, 4, 4, 1, 4, 4]"
,,s5255_PSCAD_MFRT_007,PSCAD-MFRT,Droop,,2500.0,5.0,1.0375,1.0375,0,750.0,350.0,"[4, 4, 7, 4, 1, 1, 1, 1, 1, 7, 4, 4, 1, 4, 4]","[0.12, 0.12, 0.43, 0.12, 0.12, 0.22, 0.22, 0.22, 0.12, 0.12, 0.12, 0.12, 0.22, 0.22, 0.22]","[0.5, 0.01, 3, 0.01, 1, 2, 1.5, 7, 2, 10, 0.2, 0.2, 5, 0.75, 0.5]","[0, 0, 3, 2, 0, 0, 3, 3, 3, 2, 0, 0, 0, 3, 2]",CSR_S5255,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5255_PSCAD_MFRT_007""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0""],[""Pwind [MW]"",""750.0""],[""Pbess [MW]"",""350.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,750.0,350.0,0,36.88,5.0,"[0, 0.5, 0.62, 1.12, 1.2400000000000002, 1.25, 1.68, 4.68, 4.8, 4.81, 4.93, 5.93, 6.1499999999999995, 8.15, 8.370000000000001, 9.870000000000001, 10.090000000000002, 17.09, 17.21, 19.21, 19.330000000000002, 29.33, 29.45, 29.65, 29.77, 29.97, 30.189999999999998, 35.19, 35.41, 36.16, 36.379999999999995]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 1.12, 1.25, 4.68, 4.81, 5.93, 8.15, 9.870000000000001, 17.09, 19.21, 29.33, 29.65, 29.97, 35.19, 36.16]","[0, 0, 3, 2, 0, 0, 3, 3, 3, 2, 0, 0, 0, 3, 2]","[0.5, 1.12, 1.25, 4.68, 4.81, 5.93, 8.15, 9.870000000000001, 17.09, 19.21, 29.33, 29.65, 29.97, 35.19, 36.16]","[4, 4, 7, 4, 1, 1, 1, 1, 1, 7, 4, 4, 1, 4, 4]"
,,s5255_PSCAD_MFRT_008,PSCAD-MFRT,Droop,,2500.0,5.0,1.0375,1.0375,0,1100.0,0.0,"[4, 1, 1, 4, 7, 1, 7, 4, 4, 4, 1, 4, 4, 1, 1]","[0.12, 0.22, 0.12, 0.22, 0.43, 0.22, 0.12, 0.12, 0.12, 0.22, 0.12, 0.12, 0.12, 0.22, 0.22]","[3, 0.2, 0.5, 2, 1, 7, 0.01, 0.5, 1.5, 0.75, 5, 2, 10, 0.2, 0.01]","[3, 3, 3, 0, 2, 3, 0, 0, 0, 2, 3, 0, 0, 2, 0]",CSR_S5255,1.0410003819924034,,"[[""Filename/Int. Ref."",""s5255_PSCAD_MFRT_008""],[""Fault Level [MVA]"",""2500.0""],[""X2R"",""5.0""],[""Vpoc [.pu]"",""1.0375""],[""Qpoc [.pu]"",""0""],[""Pwind [MW]"",""1100.0""],[""Pbess [MW]"",""0.0""],[""t=0"",""steady-state""]]",2500.0,5.0,1.0375,1.0410003819924034,1100.0,0.0,0,36.88,5.0,"[0, 0.5, 0.62, 3.62, 3.8400000000000003, 4.04, 4.16, 4.66, 4.88, 6.880000000000001, 7.3100000000000005, 8.31, 8.530000000000001, 15.530000000000001, 15.65, 15.660000000000002, 15.780000000000001, 16.28, 16.400000000000002, 17.900000000000002, 18.12, 18.87, 18.990000000000002, 23.990000000000002, 24.110000000000003, 26.110000000000003, 26.230000000000004, 36.230000000000004, 36.45, 36.650000000000006, 36.870000000000005]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[0.5, 3.62, 4.04, 4.66, 6.880000000000001, 8.31, 15.530000000000001, 15.660000000000002, 16.28, 17.900000000000002, 18.87, 23.990000000000002, 26.110000000000003, 36.230000000000004, 36.650000000000006]","[3, 3, 3, 0, 2, 3, 0, 0, 0, 2, 3, 0, 0, 2, 0]","[0.5, 3.62, 4.04, 4.66, 6.880000000000001, 8.31, 15.530000000000001, 15.660000000000002, 16.28, 17.900000000000002, 18.87, 23.990000000000002, 26.110000000000003, 36.230000000000004, 36.650000000000006]","[4, 1, 1, 4, 7, 1, 7, 4, 4, 4, 1, 4, 4, 1, 1]"
